zkratka,katedra,rok,nazev,nazevDlouhy,maVyuku,vyukaZS,vyukaLS,jakCastoJeNabizen,jakCastoJeNabizenUpresneni,kreditu,viceZapis,minObsazeni,garanti,garantiSPodily,garantiUcitIdno,prednasejici,prednasejiciSPodily,prednasejiciUcitIdno,cvicici,cviciciSPodily,cviciciUcitIdno,seminarici,seminariciSPodily,seminariciUcitIdno,schvalujiciUznani,schvalujiciUznaniUcitIdno,examinatori,examinatoriUcitIdno,podminujiciPredmety,vylucujiciPredmety,podminujePredmety,literatura,nahrazPredmety,metodyVyucovaci,metodyHodnotici,akreditovan,jednotekPrednasek,jednotkaPrednasky,jednotekCviceni,jednotkaCviceni,jednotekSeminare,jednotkaSeminare,anotace,typZkousky,maZapocetPredZk,formaZkousky,pozadavky,prehledLatky,predpoklady,ziskaneZpusobilosti,casovaNarocnost,predmetUrl,vyucovaciJazyky,poznamka,ectsZobrazit,ectsAkreditace,ectsNabizetUPrijezdu,poznamkaVerejna,skupinaAkreditace,skupinaAkreditaceKey,zarazenDoPrezencnihoStudia,zarazenDoKombinovanehoStudia,studijniOpory,praxePocetDnu,urovenNastavena,urovenVypoctena,automatickyUznavatZppZk,hodZaSemKombForma,semestr,pocetStudentu,aMax,bMax,cMax,aSkut,bSkut,cSkut
MIS,KI,2024,Management and Information Systems,Management and Information Systems,A,A,N,K,"",5,NO,"","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.' (100)",2220,"'RNDr. Jiří Škvor, Ph.D.', 'Ing. Štěpánka Zimová'","'RNDr. Jiří Škvor, Ph.D.' (100), 'Ing. Štěpánka Zimová' (100)","2220, 7352","'Ing. Pavel Kuba, Ph.D.'","'Ing. Pavel Kuba, Ph.D.' (100)",2317,"","","","","","","","","",KI/FIS,"'SYNEK, M. Manažerská ekonomika. Praha: Grada, 2007. ISBN 978-80-247-1992-4.',
'Synek M. a kol. Podniková ekonomika. C. H. Beck, Praha, 2006. ISBN 80-7179-892-4.',
'Schelle K. Právo pro ekonomy. Key Publishing, Ostrava, 2011. ISBN 978-80-7418-115-3.',
'Spirit M. Základy práva pro neprávníky. Vydavatelství a naklad. Aleš Čeněk, Plzeň, 2012. ISBN 978-80-7380-391-9.',
'Kislingerová E. Inovace nástrojů ekonomiky a managementu organizací. C. H. Beck, Praha, 2008. ISBN 978-80-7179-882-8.',
'Švarc Z. Základy obchodního práva. Vydavatelství a nakladatelství Aleš Čeněk, Plzeň, 2011. ISBN 978-80-7380-322-3.',
'Mates P. Základy teorie práva. Oeconomica, Praha, 2009. ISBN 978-80-245-1566-3.'","","Monologická (výklad, přednáška, instruktáž), Pozorování, Demonstrace",Známkou,N,2,HOD/TYD,2,HOD/TYD,0,HOD/TYD,"The aim of the course is to provide students with an overview of the principles which affect mainly the business environment, relationships and function of legal and natural persons. The methods of company construction, its economic functions, with emphasis on the basic principles of accounting, reporting and critical indexes crating basics for the current information systems are explained. Goal of seminars is to explain the basic elements of the company, its financing, management, obtaining information about its surroundings. An introduction to the issue of standardization in the field of informatics is part of the seminar.",Exam,YES,Combined,"","1. The enterprise and entrepreneurship, enterprise effectiveness and its basic categories, company objectives and its functions
2. Management and its functions, decision making, planning, organization, coordination
3. Management of human resources, manufacturing and purchasing activities of the enterprise, corporate finance
4. General introduction to the legal system (the basic concepts of law, separation of powers, organization of law enforcement and legal power standards)
5. Trade Law (definition of a trade, business distribution, the conditions of the trade, types of trades, trade register, trade license)
6. Civil Code (scope, definitions, structure and selected parts of the Civil Code)
7. Labor Code (participants in labor relations, collective agreement, employment, contract of employment, changes in employment, termination of employment, agreement on work performed outside employment, hours of work and rest, remuneration, provision travel expenses)
8. Investments and capital structure of the company, sources of funding
9. Organizational structure, corporate governance, corporate culture
10. Investment activity and business accountancy
11. Sources of information on legal standards, business plan
12. Company environment and the use of methods Competitive Intelligence
13. Standards in the field of information systems","","","","",Czech,"",A,N,N,"","","",A,N,"",0,"",Bc.,A,"",ZS,0,"","","",0,0,0
NME,KI,2024,Numerical Methods,Numerical Methods,A,A,N,K,"",5,NO,"","'doc. Ing. Mgr. Jiří Barilla, CSc.'","'doc. Ing. Mgr. Jiří Barilla, CSc.'",449,"'doc. Ing. Mgr. Jiří Barilla, CSc.', 'RNDr. Petr Kubera, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'doc. Ing. Mgr. Jiří Barilla, CSc.' (100), 'RNDr. Petr Kubera, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","449, 650, 2220","'RNDr. Petr Kubera, Ph.D.', 'Mgr. Květuše Sýkorová', 'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Petr Kubera, Ph.D.' (100), 'Mgr. Květuše Sýkorová' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","650, 835, 2220","","","","","","","","KMA/P110, KMA/P136","","","'Felcman J. Numerická matematika. 2013. ',
'Segethova, J. Základy numerické matematiky. Karolinum, Praha. ',
'Mathematics. Springer, Berlin. ISBN 0-387-98959-5.',
'Ueberhuber, W. Numerical Computation 1, 2: Methods, Software, and Analysis. Springer, Berlin. ',
'Quarteroni, A., Sacco, R., and Saleri, F. Numerical Mathematics (2ndedn), Volume 37 of Texts in Applied Mathematics. Springer, Berlin. ISBN 0-387-98959-5. '","","","",N,2,HOD/TYD,2,HOD/TYD,0,HOD/TYD,Introduction to numerical mathematics for students of computer science.,Exam,YES,Combined,"Požadavky pro udělení zápočtu
- aktivní účast na seminářích (povoleny jsou nejvýše 3 absence)
- prezentace řešení vybraných úloh ve vhodném programovacím jazyce a jejich vysvětlení

Zkouška je ústní a proběhne v časovém rozsahu zhruba 30 minut. Prověřovány jsou teoretické znalosti a schopnost popisu, rozboru a odvození vybraných algoritmů.
","1. Function approximation, Lagrange interpolation 
2. Definition of spline function, interpolation via spline-construction, derivation 
3. Numerical quadrature, Newton-Cotes rules 
4. Romberg's quadrature method, Gaussian quadrature rules 
5. Method for nonlinear equations, Newton's (Newton-Rhapson) method 
6. Fixed point method, root finding for polynomials, Horner scheme 
7. System of linear equation, conditional number, Gaussian elimination 
8. LU factorization, Cholesky and QR factorization 
9. Basic iterative methods for the solution of linear algebraic equations 
10. Eigenvalues of matrix, power method 
11. Numerical solution of ODE, one step methods, Runge-Kutta methods 
12. Gradient methods ",Teaching in English is meant only for erasmus and foreign students. In the case of a small number of students is teaching in a form of individual consultations.,"","","","Czech, English",Výuka v anglickém jazyce je určena výhradně studentům přijíždějícím v rámci programu Erasmus.,A,N,N,"","","",A,N,"",0,"",Bc.,A,"",ZS,0,"","","",0,0,0
NUM,KI,2024,Numerical Methods,Numerical Methods,A,A,N,K,"",2,NO,"","'doc. Ing. Mgr. Jiří Barilla, CSc.'","'doc. Ing. Mgr. Jiří Barilla, CSc.'",449,"","","","","","","'doc. Ing. Mgr. Jiří Barilla, CSc.', 'RNDr. Jiří Škvor, Ph.D.'","'doc. Ing. Mgr. Jiří Barilla, CSc.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","449, 2220","","","","","KI/APR1, KMA/MA1, KMA/MT1","","","'Vicher, M. Numerická matematika, skripta UJEP, Ústí n. Lab., 2003. ',
'VONDRÁK, V. a L. POSPÍŠIL. Numerické metody 1. 2011. ',
'KUBEN, J. a P. RAČKOVÁ. Numerické metody. Brno: Univerzita obrany, 2016. ISBN 978-80-7231-373-0.'","","","",N,0,HOD/TYD,0,HOD/TYD,2,HOD/TYD,"V předmětu jsou studentům představeny základní metody numerické matematiky a možnosti jejich použití v praxi.
Studenti si osvojí nezbytné teoretické znalosti (schopnost popisu, rozboru a odvození vybraných algoritmů), které spolu
s praktickými dovednostmi nabytými v předmětu Matematický software využijí k řešení komplexnějších úloh z praxe.
Hlavním cílem předmětu je rozšířit kompetence studentů v oblasti programování v Pythonu či R za použití algoritmů
numerické matematiky a ukázat jejich aplikace. Dalším cílem předmětu je, aby studenti dokázali zvolit vhodnou metodu
pro řešení zadaného problému.",Pre-Exam Credit,NO,Combined,Seminární práce,"1. Vlastnosti numerických algoritmů: stabilita, korektnost a podmíněnost úlohy, typy chyb a jejich šíření
2. - 3. Řešení nelineárních rovnic: metoda půlení intervalu, regula falsi, metoda prostých iterací, Newtonova metoda tečen, Hornerovo schéma a kořeny polynomu (Newtonova-Hornerova metoda)
4. - 5. Řešení soustav lineárních rovnic: přímé metody (Gaussova eliminační metoda, metoda LU rozkladu), iterační metody (Jacobiova, Gaussova-Seidelova)
6. - 7. Interpolace: po částech lineární a polynomem (v Lagrangově a Newtonově tvaru)
8. - 9. Aproximace metodou nejmenších čtverců
10. - 11. Numerické derivování a integrace (Newtonovy-Cotesovy vzorce jednoduché a složené, Rombergova kvadratura)
12. - 13. Numerické řešení obyčejných diferenciálních rovnic: jednokrokové metody (Eulerova metoda, metody Rungeho-Kutty","","","","",Czech,"",A,N,N,"","","",A,N,"",0,"",Bc.,A,0,ZS,0,"","","",0,0,0
PDSA,KI,2024,Advanced Data Structures and Algorithms,Advanced Data Structures and Algorithms,A,A,N,K,"",5,NO,"","'doc. RNDr. Mgr. Viktor Maškov, DrSc.'","'doc. RNDr. Mgr. Viktor Maškov, DrSc.'",2239,"'Mgr. Jiří Fišer, Ph.D.', 'doc. RNDr. Mgr. Viktor Maškov, DrSc.', 'RNDr. Jiří Škvor, Ph.D.'","'Mgr. Jiří Fišer, Ph.D.' (100), 'doc. RNDr. Mgr. Viktor Maškov, DrSc.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","251, 2239, 2220","'Mgr. Jiří Fišer, Ph.D.', 'Mgr. Květuše Sýkorová', 'RNDr. Jiří Škvor, Ph.D.'","'Mgr. Jiří Fišer, Ph.D.' (100), 'Mgr. Květuše Sýkorová' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","251, 835, 2220","","","","","","","","","",KI/PAR,"","","","",N,2,HOD/TYD,2,HOD/TYD,0,HOD/TYD,"Předmět je zaměřen na teoretické i praktické seznámení s běžně používanými datovými strukturami a algoritmy nad těmito strukturami. Předmět je zahájen přednáškou, která je věnována formalismu asymptotické složitosti a optimálnímu využívání počítačové paměti. Následuje popis základních i pokročilých datových struktur včetně elementárních operací nad nimi (vkládání, vyhledávání, vymazání). Nejrozsáhlejší část předmětu je věnována třem základním algoritmickým přístupům (rekurzivní algoritmy, hladové algoritmy a pravděpodobnostní algoritmy) s příklady běžně používaných obecných algoritmů. Poslední část předmětu je věnována stručnému přehledu a prezentaci algoritmů a datových struktur v oblastech, u nichž se předpokládá aplikace v rámci semestrálních projektů.",Exam,YES,Combined,"Forma způsobu ověření studijních výsledků a další požadavky na studenta	Zápočet: seminární práce (implementace netriviální datové struktury či algoritmu)
Zkouška: ústní, zaměřená na praktické využití algoritmů a datových struktur

","Přednášky se zaměřují na formální popis algoritmů a příklady jejich uplatnění v praxi (přednášky v poslední části předmětu jsou vedeny či připraveny vyučujícími, kteří příslušné algoritmy využívají v rámci svých vědeckých či odborných aktivit). V průběhu cvičení jsou jednotlivé algoritmy implementovány, či je diskutována jejich implementace ve standardních knihovnách (srovnání efektivity implementace) a je naznačeno jejich praktické využití.
1.	Teoretické základy algoritmizace: asymptotická složitost (Landauovy asymptotické notace), princip lokality (důsledky pro mezipaměti)
2.	Datové struktury: základní principy, lineární datové struktury, hashovací tabulky (hashovací funkce), řídká pole
3.	Datové struktury: stromové struktury (binární uspořádané stromy, haldy), vyvažování stromů
4.	Datové struktury: grafy (Fibonacciho haldy, ohodnocené grafy)
5.	Rekurzivní algoritmy: rozděl a panuj (quick sort, merge sort, nejbližší dvojice bodů)
6.	Rekurzivní algoritmy: dynamické programování
7.	Hladové algoritmy: deterministické hladové algoritmy (např. hledání kostry grafu)
8.	Hladové algoritmy: heuristiky (problém obchodního cestujícího)
9.	Pravděpodobnostní algoritmy: generátory pseudonáhodných čísel, randomizované datové struktury a klasické algoritmy, Monte Carlo metody
10.	Výpočetní geometrie: konvexní obálka, Delaunayova triangulace, Voroného diagram
11.	Výpočetní geometrie: BSP tree, quadtree/octree a R-tree, Minkowského suma a její uplatnění
12.	Shluková analýza: hierarchické shlukování, hustotní shlukování (DBSCAN), centroidní shlukování (k means), grafové algoritmy (kliky)
13.	Zpracování textů (suffix trees, string distance, approximate pattern matching)
","","","","",Czech,"",A,N,N,"","","",A,N,"",0,"",Mgr.,A,0,ZS,0,"","","",0,0,0
PNUM,KI,2024,Advanced Numerical Methods,Advanced Numerical Methods,A,A,N,K,"",5,NO,"","'doc. Ing. Mgr. Jiří Barilla, CSc.'","'doc. Ing. Mgr. Jiří Barilla, CSc.'",449,"'doc. Ing. Mgr. Jiří Barilla, CSc.', 'RNDr. Petr Kubera, Ph.D.'","'doc. Ing. Mgr. Jiří Barilla, CSc.' (100), 'RNDr. Petr Kubera, Ph.D.' (100)","449, 650","'RNDr. Petr Kubera, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Petr Kubera, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","650, 2220","","","","","","","","","","","","","","",N,2,HOD/TYD,2,HOD/TYD,0,HOD/TYD,"Tento předmět nabízí studentům ucelený přehled metod numerické matematiky. Předmět dále rozvíjí znalosti a dovednosti z oblasti numerických metod, které by měli studenti získat v bakalářském studiu. Poskytuje hlubší vhled do problematiky a akcentuje metody numerické lineární algebry jakožto nástroje pro datovou analýzu a strojové učení. Studenti si osvojí jak teoretické znalosti, tak i praktické aplikace v rámci cvičení za použití volně dostupných knihoven pro Python a R.",Exam,YES,Combined,"Zápočet: praktický test (řešení zadané úlohy na počítači v počítačové učebně)
Zkouška: ústní, zaměřená na ověření teoretických znalostí
","1. Stabilita, zdroje zaokrouhlovacích chyb a jejich vliv
2. - 3. Přímé metody pro řešení lineárních rovnic: GEM, LU rozklad, Choleského faktorizace, QR faktorizace a jejich aplikace
4. - 5. Iterační metody pro řešení lineárních rovnic: Jacobiova, Gaussova-Seidelova metoda, SOR, gradientní metoda a metoda sdružených gradientů
6. - 7. Vlastní čísla a jejich výpočet: odhady vlastních čísel, částečný problém vlastních čísel (mocninná metoda), úplný problém vlastních čísel (QR iterace a konstrukce QR rozkladu)
8. SVD rozklad, jeho výpočet a aplikace
9. Iterační metody řešení nelineárních rovnic a jejich soustav: Newtonova metoda a její varianty, metoda prosté iterace, metody pevného bodu a jejich konvergence
10. Hledání kořenů polynomů: odhady kořenů polynomů, Newtonova-Hornerova metoda, Mullerova metoda, Bernoulliova metoda
11. Numerická kvadratura: zopakování základních metod pro jednorozměrné integrály (Newtonovy-Cotesovy vzorce), Gaussova kvadratura, výpočet nevlastních integrálů, adaptivní přístupy, redukce pro vícerozměrné integrály a metoda Monte Carlo
12. Řešení ODR a jejich soustav: jednokrokové a vícekrokové metody, metody prediktor-korektor, metody Rungeho-Kutty, stiff problémy a stabilita metod
13. Aproximace a interpolace funkcí: zopakování základních metod (interpolace polynomem aj.), kubický spline, Čebyševovská aproximace
","","","","",Czech,"",A,N,N,"","","",A,N,"",0,"",Mgr.,A,0,ZS,0,"","","",0,0,0
PRAX,KI,2024,Professional Training,Professional Training,A,A,A,K,"",4,NO,"","'RNDr. Jan Krejčí, Ph.D.'","'RNDr. Jan Krejčí, Ph.D.' (100)",2776,"","","","","","","'RNDr. Jan Krejčí, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jan Krejčí, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","2776, 2220","","","","","","","","","","","",N,0,HOD/TYD,0,HOD/TYD,7,DNU/SEM,"The training is mainly implemented in IT companies and government organisation in Usti-nad-Labem region. Alternative training is possible by joining of a research project of Faculty of science or other faculty of our university.

The first term of professional training is examination period of the fourth semestr. Minimal duration is seven days.",Pre-Exam Credit,NO,Combined,"","","","","","",Czech,"",A,N,N,"","","",A,A,"",0,"",Bc.,A,"",ZS,0,"","","",0,0,0
PROJ,KI,2024,Project Seminar,Project Seminar,A,A,N,K,"",5,NO,"","'Mgr. Jiří Fišer, Ph.D.'","'Mgr. Jiří Fišer, Ph.D.' (100)",251,"","","","","","","'Mgr. Jiří Fišer, Ph.D.', 'RNDr. Jan Krejčí, Ph.D.', 'doc. RNDr. Zbyšek Posel, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'Mgr. Jiří Fišer, Ph.D.' (100), 'RNDr. Jan Krejčí, Ph.D.' (100), 'doc. RNDr. Zbyšek Posel, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","251, 2776, 3521, 2220","","","","",KI/FIS,"","","'DVOŘÁK D., SIRŮČEK J., KALIŠ J.: . Mistrovství v Microsoft Project 2010. Praha, 2011. ISBN 9788025130742.',
'SCHWALBE K.: . Řízení projektů v IT. Praha, 2011. ISBN 9788025130759.',
'Taylor J. Začínáme řídit projekty. Computer Press, Praha, 2007. ISBN 978-80-251-1759-0.',
'SVOZILOVÁ A.: . Projektový management 2. Praha, 2011. ISBN 978-80-247-3611-2.',
'DVOŘÁK D., MAREČEK M., RÉPAL M.: . Řízení portfolia projektů. Praha, 2011. ISBN 9788025130759.',
'BARBEE D.: . 97 klíčových znalostí projektového manažera. Praha, 2010. ISBN 9788025128541.'","","","",N,0,HOD/TYD,0,HOD/TYD,2,HOD/TYD,"During the project seminar, students are grouped into smaller (3-5 members) teams and suggest smaller-scale projects and implement this project.

Project topics are determined by teachers of various subjects, while the project can connect issues of more courses or even specialized modules (eg. Web service for corporate IS with the implementation of software and hardware deployment proposal).

At project seminar students, among other, repeat the knowledge gained from the previous course Project Management and Enterprise Information Systems.

Individual projects will be monitored at the seminars.  The mutual exchange of information between individual teams provide feedback to each team.

Beside the final product evaluation, the project documentation including analysis, design, schedule, etc. and long-term sustainability of the project (flexibility, scalability, technical documentation) is part of final mark.",Exam,YES,Combined,"Prezentace zadání a cílů projektu, průběhu jeho řešení (technická a organizační stránka) a jeho výstupu","","","","","",Czech,"",A,N,N,"","","",A,N,"",0,"",Bc.,A,"",ZS,0,"","","",0,0,0
PS1,KI,2024,Project Seminar I,"Project Seminar I
",A,A,N,K,"",4,NO,"","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.'",2220,"","","","","","","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.' (100)",2220,"","","","","","",KI/PS2,"","","","",N,0,HOD/TYD,0,HOD/TYD,2,HOD/TYD,"",Pre-Exam Credit,NO,Combined,"","","","","","",Czech,"",A,N,N,"","","",A,N,"",0,"",Bc.,A,0,ZS,0,"","","",0,0,0
PVS,KI,2024,IT Project Calls and Strategies,IT Project Calls and Strategies,A,A,N,K,"",2,NO,"","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.'",2220,"","","","","","","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.' (100)",2220,"","","","","","","","","","","",N,0,HOD/TYD,0,HOD/TYD,2,HOD/TYD,"V rámci předmětu představí odborníci z firem, organizací a institucí typu ICUK, TAČR, MŠMT, MPO, NCP 4.0 či NÚKIB různé národní a mezinárodní projektové výzvy a strategie související s IT typu Národní strategie umělé inteligence v České republice, Národní RIS3 strategie apod.",Pre-Exam Credit,NO,Combined,"Aktivní účast, kontrolní písemný test na konci každého semináře","","","","","",Czech,"",A,N,N,"","","",A,N,"",0,"",Mgr.,A,0,ZS,0,"","","",0,0,0
PYR,KI,2024,Python and R for Data Science,Python and R for Data Science,A,A,N,K,"",4,NO,"","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.'",2220,"'prof. Sergii Babichev, DSc.', 'RNDr. Jiří Škvára, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'prof. Sergii Babichev, DSc.' (100), 'RNDr. Jiří Škvára, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","3416, 6259, 2220","'prof. Sergii Babichev, DSc.', 'RNDr. Jiří Škvára, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'prof. Sergii Babichev, DSc.' (100), 'RNDr. Jiří Škvára, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","3416, 6259, 2220","","","","","","","","","","KI/ASO1, KI/CRS, KI/SOC","","","","",N,1,HOD/TYD,2,HOD/TYD,0,HOD/TYD,"V předmětu studenti prakticky rozvinou základní dovednosti v programovacích jazycích Python a R v oblastech stěžejních pro datové inženýry a vědce. Různé metody a techniky zpracování, analýzy a vizualizace dat si studenti osvojí ryze prakticky na vzorových řešeních, tj. na aplikační a interpretační úrovni, bez nutnosti hlubších znalostí principů těchto metod a technik, které by měli nabýt v předchozím, případně dalším studiu. Výraznou součástí výuky je práce studentů ve skupinách na řešení případových studií (""inspirovaných daty"") menšího rozsahu, jejich prezentace a vzájemné kritické zhodnocení. Zdrojem dat a inspirací jsou platformy typu kaggle.com. Ve výuce se uplatní materiály výukových platforem jako je datacamp.com, které jsou jinak doporučeny zejména k samostudiu a získání certifikátů",Exam,YES,Combined,"Zápočet: seminární práce
Zkouška: ústní
","1. Prohloubení základů syntaxe a základních konstrukcí jazyků Python a R
2. Základy práce s daty a datovými soubory a jejich vizualizace
3. Pokročilé techniky práce s daty a datovými soubory (import, čištění dat aj.)
4. Pokročilé techniky vizualizace dat
5. - 6. Explorační analýza dat, vybrané pokročilé statistické metody (korelační, regresní analýza, faktorová, shluková analýza aj.), inferenční statistika
7. - 8. Základní aplikace metod strojového učení (vybrané klasifikátory či algoritmy pro regresi a shlukování)
9. Základy textové analýzy, analýza sentimentu
10. Analýza sítí
11. - 12. Reporty, dashboardy a interaktivní vizualizace dat
13. Shrnutí, diskuse nad zadáními seminárních prací
","","","","",English,"",A,N,N,"","","",A,N,"",0,"",Mgr.,A,0,ZS,0,"","","",0,0,0
SP1,KI,2024,Semester Project I,Semester Project I,A,A,N,K,"",2,NO,"","'doc. RNDr. Zbyšek Posel, Ph.D.'","'doc. RNDr. Zbyšek Posel, Ph.D.'",3521,"","","","","","","'Mgr. Jiří Fišer, Ph.D.', 'RNDr. Jan Krejčí, Ph.D.', 'RNDr. Petr Kubera, Ph.D.', 'doc. RNDr. Zbyšek Posel, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'Mgr. Jiří Fišer, Ph.D.' (100), 'RNDr. Jan Krejčí, Ph.D.' (100), 'RNDr. Petr Kubera, Ph.D.' (100), 'doc. RNDr. Zbyšek Posel, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","251, 2776, 650, 3521, 2220","","","","","","",KI/SP2,"","","","",N,0,HOD/TYD,0,HOD/TYD,2,HOD/TYD,"Tento předmět zahajuje sérii tří na sebe navazujících předmětů, v jejichž průběhu se studenti aktivně zapojí do projektů řešených ve spolupráci s firmami (zejména projektů smluvního výzkumu), případně jiných výzkumných projektů zejména aplikačního charakteru, na jejichž řešení se podílí členové katedry. Počet míst na jeden projekt bude omezený tak, aby rozdělení studentů pokrylo potřeby aktuálně řešených či připravovaných projektů",Pre-Exam Credit,NO,Combined,"Účast na projektových schůzkách, průběžné plnění zadaných úkolů
Zápočet uděluje řešitel projektu.
","V této fázi se předpokládá postupné provádění těchto činností:
- představení řešených/připravovaných projektů,
- začlenění studentů do jednotlivých projektových týmů (na základě jejich odborných znalostí/dovedností/kompetencí a preferencí), stanovení rolí v projektových týmech (na základě týmových kompetencí),
- seznámení se s nástroji týmové spolupráce a jejich konfigurace na straně nových členů týmů,
- návrh realizace nového projektu nebo předávání know-how (u běžících projektů),
- (samo)studium faktických znalostí a získávání technologických dovedností spojených s realizací projektu,
- stanovení prvních dílčích úkolů pro nové členy týmu,
- počáteční řešení dílčích úkolů.

Cílem dílčích úkolů je jednak motivovat studenty k hlubšímu studiu a pochopení dané problematiky, jednak je více zapojit do přípravy aplikačních výstupů.
","","","","",Czech,"",A,N,N,"","","",A,N,"",0,"",Mgr.,A,0,ZS,0,"","","",0,0,0
SP3,KI,2024,Semester Project III,Semester Project III,A,A,N,K,"",6,NO,"","'doc. RNDr. Zbyšek Posel, Ph.D.'","'doc. RNDr. Zbyšek Posel, Ph.D.'",3521,"","","","","","","'RNDr. Petr Kubera, Ph.D.', 'doc. RNDr. Zbyšek Posel, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Petr Kubera, Ph.D.' (100), 'doc. RNDr. Zbyšek Posel, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","650, 3521, 2220","","","","",KI/SP2,"",KI/PREP,"","","","",N,0,HOD/TYD,0,HOD/TYD,4,HOD/TYD,"Předmět uzavírá sérii tří semestrálních projektů. V této fázi se výuka soustřeďuje na následující činnosti:
- dokončení dílčích úkolů, jejich validace a verifikace,
- finalizace výstupů projektu včetně dokumentace k nim (typicky projektové a aplikační dokumentace),
- příprava ucelené prezentace shrnující výsledky dosažené za tři semestry,
- v případě dlouhodobých projektů předání know-how novým členům týmu.

V rámci seminářů bude hodnoceno dosažení cílového/průběžného stavu včetně kvality výsledné dokumentace a závěrečné prezentace. Výsledky a výstupy projektu s komerčním potenciálem mohou být následně rozpracovány a prezentovány v rámci předmětu Prezentace projektu.
",Pre-Exam Credit,NO,Combined,"Účast na projektových schůzkách s prezentací dílčích výstupů a plánů dalšího postupu, zhodnocení finálních výstupů projektu dle jejich závěrečné prezentace a dokumentace
Zápočet uděluje řešitel projektu.
","","","","","",Czech,"",A,N,N,"","","",A,N,"",0,"",Mgr.,A,0,ZS,0,"","","",0,0,0
XBP,KI,2024,Bachelor Thesis,Bachelor Thesis,A,A,A,K,"",8,NO,"","'doc. RNDr. Mgr. Viktor Maškov, DrSc.'","'doc. RNDr. Mgr. Viktor Maškov, DrSc.' (100)",2239,"","","","","","","","","","","","'prof. Sergii Babichev, DSc.', 'Mgr. Kamil Balín', 'doc. Ing. Mgr. Jiří Barilla, CSc.', 'Ing. Mgr. Pavel Beránek', 'Mgr. Jiří Fišer, Ph.D.', 'Ing. Petr Haberzettl', 'RNDr. Jan Krejčí, Ph.D.', 'Ing. Pavel Kuba, Ph.D.', 'RNDr. Petr Kubera, Ph.D.', 'doc. RNDr. Mgr. Viktor Maškov, DrSc.', 'doc. RNDr. Zbyšek Posel, Ph.D.', 'PhDr. Jiří Přibyl, Ph.D.', 'Mgr. Květuše Sýkorová', 'RNDr. Jiří Škvára, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","3416, 1165, 449, 6973, 251, 1780, 2776, 2317, 650, 2239, 3521, 267, 835, 6259, 2220","",KI/BP,"","","","","",N,0,HOD/TYD,0,HOD/TYD,0,HOD/TYD,Credits are awarded by thesis supervisor (if she or he is internal) or consultant when the bachelor thesis is ready for defense.,Pre-Exam Credit,NO,Combined,"","","","","","",Czech,"",A,N,N,"","","",A,A,"",0,"",Bc.,A,"",ZS,0,"","","",0,0,0
