katedra;zkratka;prednasejici;prednasejiciUcitIdno;jednotekPrednasek;jednotkaPrednasky
KTV;73521;"";;7;HOD/SEM
KTV;7414;"";;1;HOD/TYD
KTV;Q012;"";;1;HOD/TYD
KTV;Q054;"";;1;HOD/TYD
KTV;Q114;"";;1;HOD/TYD
KTV;Q1521;"";;2;HOD/TYD
KTV;Q3110;"";;3;HOD/SEM
KTV;Q314;"";;3;HOD/SEM
KTV;Q3521;"";;7;HOD/SEM
KV1;7910;"";;2;HOD/SEM
KV1;7911;"";;3;HOD/SEM
KV1;7930;"";;2;HOD/SEM
KV1;7932;"";;3;HOD/SEM
KVK;052;"";;1;HOD/TYD
KVP;762;"";;1;HOD/TYD
KVP;763;"";;1;HOD/TYD
KVP;764;"";;1;HOD/TYD
KVP;765;"";;1;HOD/TYD
KVV;PH006;"";;3;HOD/SEM
KVV;PH007;"";;2;HOD/SEM
KVV;PH009;"";;2;HOD/SEM
KVV;PH017;"";;3;HOD/SEM
KVV;PH023;"";;2;HOD/SEM
KVV;PH028;"";;2;HOD/SEM
KVV;PH033;"";;2;HOD/SEM
KVV;PHK06;"";;3;HOD/SEM
KVV;PHK07;"";;2;HOD/SEM
KVV;PHK09;"";;2;HOD/SEM
KVV;PHK17;"";;3;HOD/SEM
KVV;PHK23;"";;2;HOD/SEM
KVV;PHK28;"";;2;HOD/SEM
KVV;PHK33;"";;2;HOD/SEM
KZP;0ENGE;"";;2;HOD/TYD
KZP;4SBO2;"";;6;HOD/SEM
KZP;5REVV;"";;1;HOD/TYD
KZP;6REVV;"";;15;HOD/SEM
KZR;RAZK2;"";;4;HOD/SEM
USE;DK003;"";;3;HOD/TYD
USE;DK005;"";;3;HOD/TYD
USE;DK015;"";;3;HOD/TYD
USE;DK032;"";;3;HOD/TYD
USE;DP003;"";;3;HOD/TYD
USE;DP005;"";;3;HOD/TYD
USE;DP015;"";;3;HOD/TYD
USE;DP032;"";;3;HOD/TYD
USE;DP038;"";;3;HOD/TYD
USE;KB094;"";;10;HOD/SEM
USE;KD101;"";;3;HOD/TYD
USE;KD102;"";;3;HOD/TYD
USE;KD111;"";;3;HOD/TYD
USE;KD202;"";;3;HOD/TYD
USE;KD304;"";;3;HOD/TYD
USE;KTZ01;"";;12;HOD/SEM
USE;KTZ02;"";;12;HOD/SEM
USE;KU022;"";;12;HOD/SEM
USE;KU143;"";;10;HOD/SEM
USE;KU155;"";;10;HOD/SEM
USE;KU222;"";;12;HOD/SEM
USE;KU543;"";;8;HOD/SEM
USE;KUZP3;"";;10;HOD/SEM
USE;KVZP5;"";;10;HOD/SEM
USE;PD101;"";;3;HOD/TYD
USE;PD102;"";;3;HOD/TYD
USE;PD202;"";;3;HOD/TYD
USE;PD302;"";;3;HOD/TYD
USE;PTZ01;"";;26;HOD/SEM
USE;PTZ02;"";;26;HOD/SEM
USE;PU143;"";;1;HOD/TYD
USE;PU543;"";;1;HOD/TYD
USE;PV217;"";;2;HOD/TYD
USE;PX019;"";;1;HOD/TYD
USE;PX214;"";;2;HOD/TYD
USE;S003P;"";;3;HOD/TYD
UTM;BK007;"";;12;HOD/SEM
UTM;BK051;"";;6;HOD/SEM
UTM;DK006;"";;3;HOD/TYD
UTM;DK008;"";;3;HOD/TYD
UTM;DK033;"";;3;HOD/TYD
UTM;DP006;"";;3;HOD/TYD
UTM;DP008;"";;3;HOD/TYD
UTM;DP033;"";;3;HOD/TYD
UTM;KB083;"";;10;HOD/SEM
UTM;KD106;"";;3;HOD/TYD
UTM;KD107;"";;3;HOD/TYD
UTM;KD203;"";;3;HOD/TYD
UTM;KD205;"";;3;HOD/TYD
UTM;KD208;"";;3;HOD/TYD
UTM;KD212;"";;3;HOD/TYD
UTM;KUZP1;"";;9;HOD/SEM
UTM;KUZP2;"";;9;HOD/SEM
UTM;KX152;"";;12;HOD/TYD
UTM;KXZP1;"";;6;HOD/SEM
UTM;KXZP2;"";;14;HOD/SEM
UTM;KY054;"";;10;HOD/SEM
UTM;PD107;"";;3;HOD/TYD
UTM;PD203;"";;3;HOD/TYD
UTM;PD205;"";;3;HOD/TYD
UTM;PD208;"";;3;HOD/TYD
UTM;PD212;"";;3;HOD/TYD
UTM;PX121;"";;2;HOD/TYD
UTM;PX129;"";;2;HOD/TYD
UTM;PX152;"";;2;HOD/TYD
UTM;PY097;"";;2;HOD/TYD
UTM;PY241;"";;2;HOD/TYD
